activity_id,date,start_time,name,type,duration_min,distance_km,avg_hr,max_hr,calories,avg_power,norm_power,training_load,aerobic_te,anaerobic_te,elevation_gain_m,avg_speed_kmh
22995651420,2026-05-24,2026-05-24 19:10:00,Quan 10 Walking,walking,73.7,6.66,124.0,144.0,443.0,,,47.568603515625,2.5,0.0,7.0,5.42
22994095357,2026-05-24,2026-05-24 17:25:50,Bien Hoa Motorcycle,motorcycling_v2,47.8,29.43,94.0,130.0,168.0,,,7.554718017578125,0.6000000238418579,0.0,135.0,36.96
22993149335,2026-05-24,2026-05-24 16:53:06,Bien Hoa Motorcycle,motorcycling_v2,17.8,9.28,103.0,116.0,76.0,,,5.27325439453125,0.4000000059604645,0.0,33.0,31.33
22992764461,2026-05-24,2026-05-24 15:52:39,Pool Swim,lap_swimming,51.4,1.5,130.0,158.0,349.0,,,82.3248291015625,3.0999999046325684,0.20000000298023224,,1.75
22991910703,2026-05-24,2026-05-24 15:31:53,Bien Hoa Motorcycle,motorcycling_v2,14.3,8.88,99.0,120.0,57.0,,,3.757568359375,0.30000001192092896,0.0,45.0,37.13
22989397046,2026-05-24,2026-05-24 08:24:31,Meditation,meditation,10.0,,73.0,95.0,,,,0.129852294921875,0.0,0.0,,
22989282016,2026-05-24,2026-05-24 07:52:18,Relax and Focus,breathwork,15.6,,65.0,93.0,,,,0.135009765625,0.0,0.0,,
23006423312,2026-05-25,2026-05-25 19:25:40,Quan 10 Cycling,cycling,5.4,1.36,130.0,147.0,24.0,60.0,59.0,10.746444702148438,0.8999999761581421,0.0,0.0,15.23
23006246597,2026-05-25,2026-05-25 18:20:18,Shoulder,strength_training,55.4,,137.0,162.0,408.0,,,128.39996337890625,3.200000047683716,2.299999952316284,,
23005513379,2026-05-25,2026-05-25 18:08:00,Quan 10 Cycling,cycling,5.0,1.55,128.0,143.0,29.0,88.0,86.0,15.5447998046875,1.2999999523162842,0.0,0.0,18.68
23001445045,2026-05-25,2026-05-25 08:25:16,Meditation,meditation,10.0,,70.0,129.0,,,,2.6647186279296875,0.0,0.10000000149011612,,
23001413833,2026-05-25,2026-05-25 08:09:17,Relax and Focus,breathwork,15.6,,65.0,89.0,,,,0.067657470703125,0.0,0.0,,
23014480640,2026-05-26,2026-05-26 10:27:51,Meditation,meditation,10.0,,101.0,111.0,,,,4.0743560791015625,0.30000001192092896,0.0,,
23014480492,2026-05-26,2026-05-26 10:11:50,Relax and Focus,breathwork,15.6,,99.0,112.0,,,,3.86248779296875,0.30000001192092896,0.0,,
23031402184,2026-05-27,2026-05-27 19:59:57,Quan 10 Cycling,cycling,5.4,1.35,126.0,135.0,21.0,45.0,45.0,7.0955963134765625,0.5,0.0,0.0,15.05
23031218774,2026-05-27,2026-05-27 18:49:12,Chest,strength_training,58.3,,125.0,160.0,347.0,,,93.11676025390625,2.799999952316284,2.200000047683716,,
23031216952,2026-05-27,2026-05-27 18:35:01,Quan 10 Cycling,cycling,5.7,1.56,129.0,139.0,27.0,62.0,57.0,12.248687744140625,1.0,0.0,1.0,16.38
23025820235,2026-05-27,2026-05-27 07:29:31,Meditation,meditation,10.0,,84.0,99.0,,,,1.3571624755859375,0.10000000149011612,0.0,,
23025819711,2026-05-27,2026-05-27 07:13:23,Relax and Focus,breathwork,15.6,,84.0,95.0,,,,1.4961395263671875,0.10000000149011612,0.0,,
23044147065,2026-05-28,2026-05-28 20:04:06,Huyen Binh Chanh Motorcycle,motorcycling_v2,13.0,6.09,109.0,129.0,68.0,,,20.592514038085938,1.7999999523162842,0.0,15.0,28.17
23043649942,2026-05-28,2026-05-28 19:44:25,Strength,strength_training,6.6,,121.0,143.0,44.0,,,11.679168701171875,1.0,0.0,,
23043351054,2026-05-28,2026-05-28 19:07:48,Quan 10 Motorcycle,motorcycling_v2,14.4,6.07,119.0,146.0,90.0,,,26.86456298828125,1.600000023841858,0.699999988079071,12.0,25.32
23038598381,2026-05-28,2026-05-28 08:16:44,Meditation,meditation,10.0,,78.0,95.0,,,,0.336334228515625,0.0,0.0,,
23038546845,2026-05-28,2026-05-28 08:00:37,Relax and Focus,breathwork,15.6,,76.0,97.0,,,,0.1038360595703125,0.0,0.0,,
23050525966,2026-05-29,2026-05-29 07:40:56,Meditation,meditation,10.0,,69.0,95.0,,,,0.2265472412109375,0.0,0.0,,
23050525449,2026-05-29,2026-05-29 07:24:56,Relax and Focus,breathwork,15.6,,66.0,85.0,,,,0.12774658203125,0.0,0.0,,
23073582052,2026-05-30,2026-05-30 06:39:57,Morning Ride,cycling,253.3,36.03,114.0,135.0,389.0,26.50848907607265,69.85261505900446,,,,385.72117970883846,8.53
23061162860,2026-05-30,2026-05-30 06:19:14,Meditation,meditation,10.0,,61.0,73.0,,,,0.0,0.0,0.0,,
23061099063,2026-05-30,2026-05-30 06:03:14,Relax and Focus,breathwork,15.6,,89.0,123.0,,,,6.6305694580078125,0.5,0.0,,
23073530520,2026-05-31,2026-05-31 07:41:31,Meditation,meditation,10.0,,55.0,102.0,,,,0.10589599609375,0.0,0.0,,
23073473163,2026-05-31,2026-05-31 07:24:16,Relax and Focus,breathwork,15.6,,57.0,83.0,,,,0.01959228515625,0.0,0.0,,
23090399818,2026-06-01,2026-06-01 18:29:01,Shoulder,strength_training,64.6,,120.0,151.0,339.0,,,49.174102783203125,2.299999952316284,1.100000023841858,,
23085782766,2026-06-01,2026-06-01 07:39:23,Meditation,meditation,10.0,,54.0,80.0,,,,0.020782470703125,0.0,0.0,,
23085740640,2026-06-01,2026-06-01 07:23:25,Relax and Focus,breathwork,15.6,,55.0,86.0,,,,0.0,0.0,0.0,,
23097799342,2026-06-02,2026-06-02 07:57:42,Meditation,meditation,10.0,,58.0,90.0,,,,0.0,0.0,0.0,,
23097737846,2026-06-02,2026-06-02 07:41:37,Relax and Focus,breathwork,15.6,,57.0,74.0,,,,0.0,0.0,0.0,,
23115980371,2026-06-03,2026-06-03 20:37:35,Quan 10 Cycling,cycling,5.3,1.35,134.0,143.0,20.0,54.0,46.0,12.156768798828125,1.100000023841858,0.0,0.0,15.2
23115830522,2026-06-03,2026-06-03 19:27:09,Chest,strength_training,62.0,,125.0,156.0,384.0,,,81.60044860839844,2.9000000953674316,1.899999976158142,,
23115049281,2026-06-03,2026-06-03 19:07:50,Quan 10 Cycling,cycling,5.5,1.56,113.0,128.0,24.0,54.0,51.0,7.0874481201171875,0.6000000238418579,0.0,0.0,16.9
23110117188,2026-06-03,2026-06-03 07:12:33,Meditation,meditation,10.0,,63.0,77.0,,,,0.0,0.0,0.0,,
23110046098,2026-06-03,2026-06-03 06:56:23,Relax and Focus,breathwork,15.6,,61.0,87.0,,,,0.0,0.0,0.0,,
23128844175,2026-06-04,2026-06-04 19:10:31,Quan 10 Cycling,cycling,121.6,45.52,139.0,171.0,699.0,91.0,104.0,372.766845703125,4.800000190734863,4.099999904632568,136.0,22.45
23126187004,2026-06-04,2026-06-04 17:32:04,Quan 3 Cycling,cycling,11.3,3.35,118.0,137.0,59.0,,,15.052398681640625,1.399999976158142,0.0,1.0,17.74
23122671812,2026-06-04,2026-06-04 08:07:09,Meditation,meditation,10.0,,64.0,83.0,,,,0.0,0.0,0.0,,
23122616635,2026-06-04,2026-06-04 07:50:41,Relax and Focus,breathwork,15.6,,61.0,82.0,,,,0.0,0.0,0.0,,
23139803998,2026-06-05,2026-06-05 20:31:20,Quan 10 Cycling,cycling,5.3,1.3,132.0,144.0,36.0,,,14.56640625,1.2000000476837158,0.0,0.0,14.85
23139670446,2026-06-05,2026-06-05 19:28:38,Back,strength_training,55.2,,125.0,166.0,285.0,,,78.00346374511719,2.5999999046325684,2.0,,
23139015309,2026-06-05,2026-06-05 19:16:20,Quan 10 Cycling,cycling,5.9,1.49,131.0,149.0,40.0,,,25.299896240234375,1.5,0.699999988079071,1.0,15.28
23134584738,2026-06-05,2026-06-05 08:03:07,Meditation,meditation,10.0,,60.0,70.0,,,,0.0,0.0,0.0,,
23134545156,2026-06-05,2026-06-05 07:46:31,Relax and Focus,breathwork,15.6,,61.0,85.0,,,,0.0,0.0,0.0,,
23151483989,2026-06-06,2026-06-06 19:21:14,Quan 10 Motorcycle,motorcycling_v2,52.6,30.1,96.0,117.0,151.0,,,4.1395721435546875,0.30000001192092896,0.0,126.0,34.33
23145084348,2026-06-06,2026-06-06 06:37:52,Meditation,meditation,10.0,,73.0,83.0,,,,0.0,0.0,0.0,,
23145022939,2026-06-06,2026-06-06 06:21:44,Relax and Focus,breathwork,15.6,,74.0,91.0,,,,0.122802734375,0.0,0.0,,
